Noun,Counter
minute,4339
bowl,2451
salt,2014
heat,1880
oil,1878
pan,1659
pepper,1643
oven,1429
chicken,1362
baking,1227
sauce,1204
mixture,1170
garlic,1115
side,1045
onion,1027
dough,1025
egg,987
water,965
top,943
sugar,904
sheet,889
cheese,884
butter,856
pot,756
flour,748
paper,682
cup,678
powder,664
tablespoon,659
cream,612
hour,604
f,601
inch,590
juice,579
half,573
skillet,562
potato,561
cm,560
rice,542
milk,541
parchment,520
tomato,519
vegetable,503
slice,490
ingredient,454
medium,453
batter,438
piece,429
bread,422
cake,417
lemon,413
layer,367
teaspoon,361
c,346
olive,343
boil,341
bottom,338
edge,336
dish,322
center,317
gram,311
time,310
seed,307
hand,306
towel,305
liquid,302
vanilla,300
temperature,292
chocolate,286
meat,272
food,270
ball,267
rack,263
steak,261
lime,260
parsley,258
surface,257
pork,257
crust,253
blender,248
mushroom,248
wrap,247
squash,242
refrigerator,241
filling,240
ice,239
second,238
coconut,232
cinnamon,231
processor,230
bean,228
spatula,228
shrimp,227
syrup,224
ginger,221
cilantro,221
beef,221
saucepan,219
fork,217
carrot,209
vinegar,209
cookie,209
honey,209
chili,207
spoon,205
paste,200
avocado,197
°,196
dressing,196
pasta,195
soy,194
rib,193
apple,192
paprika,192
pastry,190
tortilla,190
container,188
plate,185
foil,184
lid,184
knife,183
spice,181
almond,180
g,178
sesame,177
broth,170
cumin,170
roll,169
stock,167
ml,166
spinach,164
bag,163
noodle,160
leave,158
breast,157
skin,157
bacon,156
bell,152
yogurt,152
glass,150
corn,149
crumb,148
cauliflower,147
bit,146
seasoning,146
mixer,146
simmer,144
salmon,144
chip,143
marinade,141
basil,140
serving,139
mix,138
rest,138
board,137
size,136
wire,136
scallion,134
speed,134
mozzarella,134
room,133
end,133
cube,129
iron,129
thyme,126
mustard,126
cutting,125
frosting,125
wine,124
parmesan,120
tray,120
pizza,119
brown,118
fat,118
bun,117
extract,117
salad,116
strip,116
chickpea,115
pie,114
orange,114
cooker,114
day,114
strawberry,113
clove,110
wing,110
flake,108
oregano,108
shape,108
cheddar,107
peanut,107
skewer,107
maple,104
white,103
consistency,103
topping,101
broccoli,101
muffin,101
batch,101
cooking,100
yolk,100
eggplant,97
yeast,97
sandwich,96
zest,96
banana,95
shallot,95
tofu,95
sausage,95
spray,93
soda,92
fruit,92
circle,92
zucchini,92
veggie,91
way,91
brownie,91
freezer,90
cornstarch,89
thigh,89
finger,88
toothpick,88
tin,88
fridge,88
puff,88
cayenne,87
patty,87
mixing,87
pinch,87
loaf,87
turkey,86
burger,85
jalapeño,85
middle,83
cabbage,83
color,83
cast,83
cocoa,82
round,82
mint,81
mm,80
halfway,79
canola,79
sprout,79
wedge,79
coriander,78
hole,78
glaze,77
jar,77
