Verb,Counter
add,4701
cook,2220
enjoy,2036
stir,1734
combine,1664
be,1517
place,1312
remove,1280
mix,1221
serve,1157
bake,1086
use,1021
set,1001
make,969
preheat,891
cover,884
let,819
transfer,801
heat,783
pour,781
remain,738
cut,711
cool,694
slice,668
whisk,632
top,625
coat,625
season,603
melt,534
sprinkle,469
bring,456
spread,455
line,454
toss,428
roll,404
reduce,398
brown,380
fold,339
form,329
fry,329
garnish,328
turn,327
incorporate,324
prepare,300
beat,299
blend,294
repeat,286
simmer,280
desire,277
flip,270
start,260
drain,259
begin,258
brush,249
drizzle,245
chop,240
press,217
grease,215
soften,213
fill,212
sauté,206
rest,206
roast,204
chill,203
continue,200
refrigerate,197
allow,187
reach,181
thicken,175
come,171
reserve,168
leave,167
need,167
keep,161
boil,161
scoop,159
dry,155
divide,155
return,154
wrap,154
arrange,152
take,149
grind,149
marinate,146
freeze,143
create,141
sit,130
lay,130
work,129
break,127
toast,126
mash,125
have,125
flour,120
microwave,115
shimmer,115
store,114
dice,112
dip,111
dissolve,111
assemble,109
shred,107
powder,107
spoon,106
seal,106
sear,104
crush,103
peel,102
taste,102
pulse,101
stick,100
whip,100
soak,96
put,95
release,94
smooth,93
strain,91
shake,90
discard,89
caramelize,86
distribute,85
knead,82
become,81
increase,80
rise,80
scrape,80
sift,76
pull,74
insert,74
bubble,74
broil,72
layer,69
mince,69
absorb,67
finish,65
get,65
rub,65
run,65
do,65
lift,65
trim,64
warm,64
close,64
pat,63
prevent,62
follow,62
hold,61
push,60
rinse,60
shape,59
evaporate,59
fit,57
grate,57
uncover,57
help,55
accord,55
steam,54
squeeze,54
ensure,54
wilt,54
flatten,54
swirl,52
separate,50
burn,49
poke,48
dust,48
smoke,46
eat,45
crack,45
save,45
pipe,44
grill,44
process,44
double,42
invert,42
salt,42
puff,42
cube,41
go,41
granulate,40
crisp,40
ladle,40
cream,40
spray,39
depend,38
crumble,38
wipe,38
overlap,38
stuff,37
’,36
look,36
touch,35
open,35
unwrap,35
rotate,35
measure,35
pickle,35
pierce,33
pinch,32
check,32
stand,32
move,32
handle,31
give,31
cast,31
fall,31
puree,31
like,30
lower,30
pound,30
slide,29
want,29
tuck,28
scramble,27
stretch,27
saute,26
drop,25
bloom,25
emulsify,25
overmix,25
secure,25
steep,25
alternate,24
-,24
submerge,24
decorate,24
butter,23
dredge,23
avoid,22
harden,22
tap,22
space,22
stop,22
baste,22
oil,22
see,21
read,21
sautée,21
render,20
stack,20
face,20
stay,19
loosen,19
pack,19
note,18
drip,18
frost,18
infuse,18
carve,18
clean,18
adjust,18
condense,18
position,18
char,18
wash,18
tie,17
pop,17
wait,17
float,16
halve,16
blanch,16
deglaze,16
vary,15
twist,15
hollow,15
meet,15
score,15
appear,14
develop,14
wet,14
overcrowd,14
resemble,14
reheat,14
plate,14
massage,13
register,13
try,13
draw,13
tear,13
can,12
shave,12
grab,12
crimp,12
smash,12
punch,12
fluff,12
include,12
build,12
’re,12
feed,12
portion,11
pre,11
achieve,11
re,11
clump,11
show,11
bread,11
sweat,10
split,10
feel,10
replace,10
skewer,10
fan,10
dollop,10
purée,10
scatter,10
watch,10
jiggle,10
darken,10
prick,10
vent,10
attach,9
select,9
adhere,9
quarter,9
disturb,9
