Food,Verbs,Top 5 Verbs,Antonyms,Top 5 Antonyms
banana,"{'mash': 1, 'use': 1, 'chop': 1}","{'mash': 1, 'use': 1, 'chop': 1, None: -1}",{},{}
egg,"{'mix': 1, 'combine': 1}","{'mix': 1, 'combine': 1, None: -1}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}}"
vanilla,"{'mix': 1, 'combine': 1}","{'mix': 1, 'combine': 1, None: -1}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}}"
cinnamon,"{'mix': 1, 'combine': 1}","{'mix': 1, 'combine': 1, None: -1}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}}","{'segregate': {'Original Verb': ['mix'], 'Verb Counter': 1}}"
pancake,"{'heat': 1, 'add': 1, 'garnish': 1, 'note': 1, 'use': 1, 'scoop': 1}","{'heat': 1, 'add': 1, 'garnish': 1, 'note': 1, 'use': 1}","{'coldness': {'Original Verb': ['heat'], 'Verb Counter': 1}, 'anestrus': {'Original Verb': ['heat'], 'Verb Counter': 1}, 'cool': {'Original Verb': ['heat', 'heat'], 'Verb Counter': 2}, 'take_away': {'Original Verb': ['add'], 'Verb Counter': 1}, 'subtract': {'Original Verb': ['add'], 'Verb Counter': 1}, 'ignore': {'Original Verb': ['note'], 'Verb Counter': 1}}","{'coldness': {'Original Verb': ['heat'], 'Verb Counter': 1}, 'anestrus': {'Original Verb': ['heat'], 'Verb Counter': 1}, 'cool': {'Original Verb': ['heat', 'heat'], 'Verb Counter': 2}, 'take_away': {'Original Verb': ['add'], 'Verb Counter': 1}, 'subtract': {'Original Verb': ['add'], 'Verb Counter': 1}, 'ignore': {'Original Verb': ['note'], 'Verb Counter': 1}}"
batter,"{'heat': 1, 'add': 1, 'cook': 1, 'start': 1, 'release': 1, 'note': 1, 'use': 1, 'scoop': 1}","{'heat': 1, 'add': 1, 'cook': 1, 'start': 1, 'release': 1}","{'coldness': {'Original Verb': ['heat'], 'Verb Counter': 1}, 'anestrus': {'Original Verb': ['heat'], 'Verb Counter': 1}, 'cool': {'Original Verb': ['heat', 'heat'], 'Verb Counter': 2}, 'take_away': {'Original Verb': ['add'], 'Verb Counter': 1}, 'subtract': {'Original Verb': ['add'], 'Verb Counter': 1}, 'middle': {'Original Verb': ['start'], 'Verb Counter': 1}, 'finish': {'Original Verb': ['start'], 'Verb Counter': 1}, 'end': {'Original Verb': ['start', 'start', 'start'], 'Verb Counter': 3}, 'stop': {'Original Verb': ['start', 'start'], 'Verb Counter': 2}, 'hold': {'Original Verb': ['release'], 'Verb Counter': 1}, 'confine': {'Original Verb': ['release'], 'Verb Counter': 1}, 'block': {'Original Verb': ['release'], 'Verb Counter': 1}, 'freeze': {'Original Verb': ['release'], 'Verb Counter': 1}, 'ignore': {'Original Verb': ['note'], 'Verb Counter': 1}}","{'coldness': {'Original Verb': ['heat'], 'Verb Counter': 1}, 'anestrus': {'Original Verb': ['heat'], 'Verb Counter': 1}, 'cool': {'Original Verb': ['heat', 'heat'], 'Verb Counter': 2}, 'take_away': {'Original Verb': ['add'], 'Verb Counter': 1}, 'subtract': {'Original Verb': ['add'], 'Verb Counter': 1}, 'middle': {'Original Verb': ['start'], 'Verb Counter': 1}, 'finish': {'Original Verb': ['start'], 'Verb Counter': 1}, 'end': {'Original Verb': ['start', 'start', 'start'], 'Verb Counter': 3}, 'stop': {'Original Verb': ['start', 'start'], 'Verb Counter': 2}, 'hold': {'Original Verb': ['release'], 'Verb Counter': 1}, 'confine': {'Original Verb': ['release'], 'Verb Counter': 1}, 'block': {'Original Verb': ['release'], 'Verb Counter': 1}, 'freeze': {'Original Verb': ['release'], 'Verb Counter': 1}}"
side,"{'flip': 1, 'cook': 1, 'be': 1, 'bake': 1, 'toast': 1, 'help': 1, 'firm': 1, 'collapse': 1}","{'flip': 1, 'cook': 1, 'be': 1, 'bake': 1, 'toast': 1}","{'differ': {'Original Verb': ['be'], 'Verb Counter': 1}}","{'differ': {'Original Verb': ['be'], 'Verb Counter': 1}}"
topping,{'garnish': 1},"{'garnish': 1, None: -1}",{},{}
walnut,"{'use': 1, 'chop': 1}","{'use': 1, 'chop': 1, None: -1}",{},{}
syrup,"{'use': 1, 'chop': 1}","{'use': 1, 'chop': 1, None: -1}",{},{}
