Container,Concepts in Kitchenware,Top 3 concepts,Number of Unique Concepts,Foods in Kitchenware,Top 3 Foods,Number of Unique Foods,Total Number of Food and Concepts,Raw Data Collected
pan,"[('batter', 1), ('cake', 4), ('concoction', 3), ('cut', 2)]","[('cake', 4), ('concoction', 3), ('cut', 2)]",4,"[('pancake batter', 1), ('pancake', 4), ('batter', 3), ('side', 2)]","[('pancake', 4), ('batter', 3), ('side', 2)]",4,10,"{'batter': [('pancake batter', 1)], 'cake': [('pancake', 4)], 'concoction': [('batter', 3)], 'cut': [('side', 2)]}"
pot,"[('dairy product', 3), ('food', 1), ('vegetable', 1), ('foodstuff', 1), ('root vegetable', 1), ('flavorer', 1), ('solanaceous vegetable', 1), ('spice', 1)]","[('dairy product', 3), ('food', 1), ('vegetable', 1)]",8,"[('cheese', 3), ('cheese', 1), ('onion', 1), ('ingredient', 1), ('carrot', 1), ('pepper', 1), ('pepper', 1), ('nutmeg', 1)]","[('cheese', 3), ('cheese', 1), ('onion', 1)]",8,10,"{'dairy product': [('cheese', 3)], 'food': [('cheese', 1)], 'vegetable': [('onion', 1)], 'foodstuff': [('ingredient', 1)], 'root vegetable': [('carrot', 1)], 'flavorer': [('pepper', 1)], 'solanaceous vegetable': [('pepper', 1)], 'spice': [('nutmeg', 1)]}"
baking dish,"[('nutriment', 1), ('starches', 1), ('baked goods', 1), ('meat', 1), ('concoction', 2), ('meal', 1), ('dairy product', 2), ('food', 1), ('flavorer', 2), ('cheese', 1), ('hot pepper', 4), ('dish', 1)]","[('hot pepper', 4), ('concoction', 2), ('dairy product', 2)]",12,"[('mess', 1), ('bread', 1), ('bread', 1), ('cut', 1), ('filling', 2), ('mess', 1), ('butter', 2), ('butter', 1), ('garlic', 2), ('cheddar', 1), ('chili', 4), ('chili', 1)]","[('chili', 4), ('filling', 2), ('butter', 2)]",12,18,"{'nutriment': [('mess', 1)], 'starches': [('bread', 1)], 'baked goods': [('bread', 1)], 'meat': [('cut', 1)], 'concoction': [('filling', 2)], 'meal': [('mess', 1)], 'dairy product': [('butter', 2)], 'food': [('butter', 1)], 'flavorer': [('garlic', 2)], 'cheese': [('cheddar', 1)], 'hot pepper': [('chili', 4)], 'dish': [('chili', 1)]}"
baking sheet,"[('bread', 8)]","[('bread', 8), (None, -1), (None, -1)]",1,"[('bun', 8)]","[('bun', 8), (None, -1), (None, -1)]",1,8,"{'bread': [('bun', 8)]}"
grill,[],"[(None, -1), (None, -1), (None, -1)]",0,[],"[(None, -1), (None, -1), (None, -1)]",0,0,{}
blender,[],"[(None, -1), (None, -1), (None, -1)]",0,[],"[(None, -1), (None, -1), (None, -1)]",0,0,{}
cupcake tin,[],"[(None, -1), (None, -1), (None, -1)]",0,[],"[(None, -1), (None, -1), (None, -1)]",0,0,{}
cutting board,"[('edible nut', 1), ('syrup', 1), ('sweetening', 1), ('punch', 2), ('cruciferous vegetable', 2)]","[('punch', 2), ('cruciferous vegetable', 2), ('edible nut', 1)]",5,"[('walnut', 1), ('maple syrup', 1), ('syrup', 1), ('cup', 2), ('broccoli', 2)]","[('cup', 2), ('broccoli', 2), ('walnut', 1)]",5,7,"{'edible nut': [('walnut', 1)], 'syrup': [('maple syrup', 1)], 'sweetening': [('syrup', 1)], 'punch': [('cup', 2)], 'cruciferous vegetable': [('broccoli', 2)]}"
bowl,"[('edible fruit', 2), ('foodstuff', 1), ('flavorer', 1), ('spice', 1), ('herb', 2), ('spread', 1)]","[('edible fruit', 2), ('herb', 2), ('foodstuff', 1)]",6,"[('banana', 2), ('egg', 1), ('vanilla', 1), ('cinnamon', 1), ('parsley', 2), ('garlic butter', 1)]","[('banana', 2), ('parsley', 2), ('egg', 1)]",6,8,"{'edible fruit': [('banana', 2)], 'foodstuff': [('egg', 1)], 'flavorer': [('vanilla', 1)], 'spice': [('cinnamon', 1)], 'herb': [('parsley', 2)], 'spread': [('garlic butter', 1)]}"
plate,"[('garnish', 1)]","[('garnish', 1), (None, -1), (None, -1)]",1,"[('topping', 1)]","[('topping', 1), (None, -1), (None, -1)]",1,1,"{'garnish': [('topping', 1)]}"
