Recipe Title,Recipe URL,Recipe Video,Most_Accurate_Cutlery,Most_Occurring_Cutlery,Last_Detected_Cutlery,All_Cutlery,Most_Accurate_Container,Most_Occurring_Container,Last_Detected_Container,All_Containers,Most_Accurate_Glass,Most_Occurring_Glass,Last_Detected_Glass,All_Glasses,Potential Foods,Other detections
Orange Cauliflower “Chicken”,https://tasty.co/recipe/orange-cauliflower-chicken,86.0,"[{'Cutlery': 'fork', 'Accuracy': 77}]","[{'Cutlery': 'fork', 'Occurrence': 11, 'Average Accuracy': 62.54545454545455}]","{'Cutlery': 'fork', 'Accuracy': 49}","{'fork': {'Top Accuracy': 77, 'Occurrence': 11}}","{'Container': 'bowl', 'Accuracy': 69}","[{'Container': 'bowl', 'Occurrence': 50, 'Average Accuracy': 61.46}]","{'Container': 'bowl', 'Accuracy': 55}","{'bowl': {'Top Accuracy': 69, 'Occurrence': 50}, 'plate': {'Top Accuracy': 58, 'Occurrence': 11}}","{'Glass': 'bottle', 'Accuracy': 64}","[{'Glass': 'bottle', 'Occurrence': 1, 'Average Accuracy': 64.0}]","{'Glass': 'bottle', 'Accuracy': 64}","{'bottle': {'Top Accuracy': 64, 'Occurrence': 1}}","{'donut': {'Top Accuracy': 64, 'Occurrences': 7}}","{'turner': [48, 49, 53], 'bed': [52, 50], 'silicone-spatula': [48], 'frisbee': [48], 'motorcycle': [50], 'teddy bear': [47, 47, 47, 48, 48, 47, 47]}"
Hasselback Butternut Squash,https://tasty.co/recipe/hasselback-butternut-squash,40.0,"[{'Cutlery': 'fork', 'Accuracy': 67}, {'Cutlery': 'person', 'Accuracy': 59}]","[{'Cutlery': 'person', 'Occurrence': 20, 'Average Accuracy': 52.2}]","{'Cutlery': 'person', 'Accuracy': 47}","{'person': {'Top Accuracy': 59, 'Occurrence': 20}, 'spoon': {'Top Accuracy': 52, 'Occurrence': 5}, 'fork': {'Top Accuracy': 67, 'Occurrence': 13}, 'knife': {'Top Accuracy': 47, 'Occurrence': 1}}","{'Container': 'plate', 'Accuracy': 85}","[{'Container': 'bowl', 'Occurrence': 54, 'Average Accuracy': 56.425925925925924}]","{'Container': 'bowl', 'Accuracy': 57}","{'bowl': {'Top Accuracy': 72, 'Occurrence': 54}, 'plate': {'Top Accuracy': 85, 'Occurrence': 25}}","{'Glass': 'cup', 'Accuracy': 65}","[{'Glass': 'cup', 'Occurrence': 18, 'Average Accuracy': 55.77777777777778}]","{'Glass': 'cup', 'Accuracy': 48}","{'cup': {'Top Accuracy': 65, 'Occurrence': 18}}","{'cake': {'Top Accuracy': 63, 'Occurrences': 19}}","{'whisk': [47, 49, 52, 47], 'dining table': [50, 54, 53, 51, 51, 53, 53, 53, 52, 53, 53, 58, 57, 56, 56, 56, 57, 56, 59, 57, 52, 52, 52, 48, 49, 50], 'chair': [50], 'laptop': [57, 72, 73, 64], 'silicone-spatula': [52, 51], 'turner': [48], 'cutting-board': [54, 56]}"
Swedish Sticky Chocolate Cake (Kladdkaka),https://tasty.co/recipe/swedish-sticky-chocolate-cake-kladdkaka,38.0,"[{'Cutlery': 'fork', 'Accuracy': 87}]","[{'Cutlery': 'fork', 'Occurrence': 26, 'Average Accuracy': 75.46153846153847}]","{'Cutlery': 'fork', 'Accuracy': 72}","{'fork': {'Top Accuracy': 87, 'Occurrence': 26}}","{'Container': 'plate', 'Accuracy': 74}","[{'Container': 'plate', 'Occurrence': 36, 'Average Accuracy': 67.0}]","{'Container': 'plate', 'Accuracy': 65}","{'bowl': {'Top Accuracy': 57, 'Occurrence': 10}, 'plate': {'Top Accuracy': 74, 'Occurrence': 36}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'cake': {'Top Accuracy': 75, 'Occurrences': 76}}",{'sieve': [50]}
Slow Cooker Chicken Fajita Bowls,https://tasty.co/recipe/slow-cooker-chicken-fajita-bowls,37.0,"[{'Cutlery': 'person', 'Accuracy': 68}]","[{'Cutlery': 'person', 'Occurrence': 14, 'Average Accuracy': 56.92857142857143}]","{'Cutlery': 'person', 'Accuracy': 48}","{'person': {'Top Accuracy': 68, 'Occurrence': 14}, 'spoon': {'Top Accuracy': 51, 'Occurrence': 1}, 'fork': {'Top Accuracy': 51, 'Occurrence': 1}}","{'Container': 'bowl', 'Accuracy': 61}","[{'Container': 'bowl', 'Occurrence': 52, 'Average Accuracy': 51.90384615384615}]","{'Container': 'bowl', 'Accuracy': 52}","{'bowl': {'Top Accuracy': 61, 'Occurrence': 52}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},{},"{'mixer': [51], 'pot': [49, 47, 51, 50, 51, 55, 55, 59, 63, 60, 58, 59, 67, 63, 47, 51, 52, 49, 49, 50, 51, 65, 79, 75, 76, 77, 70, 71, 75, 76, 77, 77, 75, 79, 81, 79, 69, 69, 67, 69, 66, 65, 65, 66, 65, 71, 71, 78], 'lid': [62, 67, 68, 66, 62, 67, 66, 66, 65, 65, 73, 72, 69, 69, 70, 76, 76, 78, 75, 72, 69, 67, 59], 'mouse': [52, 50, 50, 51], 'turner': [49, 47, 48, 49, 47], 'parking meter': [53, 49, 54, 48, 48, 47], 'car': [57], 'tongs': [67, 52, 48, 52, 53, 49, 62, 56, 52, 51, 75, 71, 72, 69, 73, 79, 70, 58], 'whisk': [49, 61, 53, 68, 48], 'scissors': [53], 'bird': [56], 'pinch-bowl': [49]}"
Portobello Fajita Bowl Meal Prep,https://tasty.co/recipe/portobello-fajita-bowl-meal-prep,2.0,"[{'Cutlery': 'fork', 'Accuracy': 62}]","[{'Cutlery': 'fork', 'Occurrence': 20, 'Average Accuracy': 52.65}]","{'Cutlery': 'fork', 'Accuracy': 56}","{'fork': {'Top Accuracy': 62, 'Occurrence': 20}}","{'Container': 'bowl', 'Accuracy': 70}","[{'Container': 'bowl', 'Occurrence': 47, 'Average Accuracy': 57.723404255319146}]","{'Container': 'bowl', 'Accuracy': 54}","{'bowl': {'Top Accuracy': 70, 'Occurrence': 47}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},{},"{'cell phone': [55, 50, 49], 'remote': [50, 49, 49, 49], 'vase': [54, 52, 51, 52, 52, 52, 52, 52, 52, 52, 52]}"
Thai Coconut Vegetable Curry,https://tasty.co/recipe/thai-coconut-vegetable-curry,1.0,"[{'Cutlery': 'person', 'Accuracy': 58}]","[{'Cutlery': 'person', 'Occurrence': 2, 'Average Accuracy': 53.5}]","{'Cutlery': 'person', 'Accuracy': 49}","{'person': {'Top Accuracy': 58, 'Occurrence': 2}}","{'Container': 'bowl', 'Accuracy': 78}","[{'Container': 'bowl', 'Occurrence': 25, 'Average Accuracy': 73.44}]","{'Container': 'plate', 'Accuracy': 58}","{'bowl': {'Top Accuracy': 78, 'Occurrence': 25}, 'plate': {'Top Accuracy': 64, 'Occurrence': 23}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},{},"{'turner': [49, 52, 51, 49, 49, 58, 55, 55, 54, 54, 50, 49, 51, 50], 'silicone-spatula': [47, 48, 47], 'laptop': [48, 55, 56, 50, 48], 'tv': [67, 58], 'umbrella': [47], 'book': [49, 49], 'kite': [51, 63, 55, 64]}"
One-Pan Miso Honey Salmon For Two,https://tasty.co/recipe/one-pan-miso-honey-salmon-for-two,0.0,"[{'Cutlery': 'person', 'Accuracy': 60}, {'Cutlery': 'fork', 'Accuracy': 58}]","[{'Cutlery': 'person', 'Occurrence': 12, 'Average Accuracy': 56.75}]","{'Cutlery': 'person', 'Accuracy': 57}","{'person': {'Top Accuracy': 60, 'Occurrence': 12}, 'fork': {'Top Accuracy': 58, 'Occurrence': 2}}","{'Container': 'plate', 'Accuracy': 71}","[{'Container': 'plate', 'Occurrence': 40, 'Average Accuracy': 69.225}]","{'Container': 'plate', 'Accuracy': 68}","{'plate': {'Top Accuracy': 71, 'Occurrence': 40}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'broccoli': {'Top Accuracy': 60, 'Occurrences': 6}}","{'whisk': [58, 60, 48, 50, 51, 52, 50, 65, 70, 65, 65, 64, 58, 57, 58, 65, 68, 67, 70, 69, 68, 75, 75, 73, 75, 73, 74, 71, 67, 59, 64, 55, 64, 64], 'sieve': [50, 59, 51, 55, 57, 49, 47, 50], 'bed': [47], 'bench': [50, 48, 49], 'toothbrush': [54, 48]}"
Meal Prep Chicken Burrito Bowls,https://tasty.co/recipe/meal-prep-chicken-burrito-bowls,13.0,"[{'Cutlery': 'person', 'Accuracy': 73}]","[{'Cutlery': 'person', 'Occurrence': 1, 'Average Accuracy': 73.0}]","{'Cutlery': 'person', 'Accuracy': 73}","{'person': {'Top Accuracy': 73, 'Occurrence': 1}}","{'Container': 'bowl', 'Accuracy': 69}","[{'Container': 'bowl', 'Occurrence': 138, 'Average Accuracy': 58.44927536231884}]","{'Container': 'bowl', 'Accuracy': 59}","{'bowl': {'Top Accuracy': 69, 'Occurrence': 138}}","{'Glass': 'cup', 'Accuracy': 49}","[{'Glass': 'cup', 'Occurrence': 4, 'Average Accuracy': 47.75}]","{'Glass': 'cup', 'Accuracy': 48}","{'cup': {'Top Accuracy': 49, 'Occurrence': 4}}",{},"{'food-container': [94, 94, 94, 91, 55, 95, 94, 93, 89, 94, 94, 93, 90, 48, 93, 93, 92, 90, 94, 92, 90, 85, 54, 94, 94, 91, 85, 95, 95, 95, 91, 97, 95, 94, 91, 97, 95, 94, 92, 97, 95, 94, 92, 97, 95, 94, 92, 97, 95, 94, 92, 97, 95, 94, 92, 97, 95, 94, 92, 97, 95, 94, 92, 96, 95, 94, 92, 96, 95, 94, 92, 96, 95, 94, 92, 96, 95, 94, 92, 97, 95, 94, 92, 96, 95, 94, 92, 96, 95, 94, 92, 96, 95, 94, 92, 91, 90, 87, 77, 94, 90, 88, 88, 92, 92, 90, 90, 94, 91, 88, 88, 52, 92, 92, 88, 87, 50, 92, 91, 88, 86, 91, 91, 89, 85, 92, 92, 90, 89, 91, 91, 90, 87, 48, 91, 91, 89, 88, 50, 92, 91, 87, 81, 94, 93, 87, 72, 97, 94, 94, 92, 97, 94, 94, 92, 97, 94, 94, 92, 97, 94, 94, 92, 97, 95, 94, 92, 97, 95, 94, 92, 97, 95, 94, 92, 95, 93, 93, 92, 92, 91, 89, 81, 93, 91, 87, 85, 65, 51, 93, 92, 90, 86, 49, 94, 92, 90, 83, 93, 91, 86, 81, 92, 92, 85, 85, 55, 93, 90, 83, 83, 55, 91, 88, 79, 77, 51, 92, 89, 79, 78, 50, 94, 88, 81, 79, 53, 88, 87, 83, 83, 48, 97, 96, 95, 92, 97, 97, 95, 92, 97, 97, 95, 92, 97, 97, 95, 92, 97, 97, 95, 95, 97, 97, 95, 95, 97, 97, 96, 95, 97, 97, 95, 95, 97, 97, 96, 95, 97, 97, 96, 95, 97, 97, 96, 95, 97, 97, 96, 95, 97, 96, 96, 96, 97, 97, 96, 96, 97, 97, 96, 96, 97, 97, 96, 96, 97, 97, 96, 96, 97, 97, 96, 96, 97, 96, 96, 96, 97, 96, 96, 96, 97, 96, 96, 96, 97, 97, 96, 96, 97, 97, 96, 96, 97, 97, 96, 96, 97, 97, 96, 96, 97, 97, 96, 96, 97, 97, 96, 96, 97, 97, 96, 96, 96, 95, 94, 92, 95, 94, 94, 90, 50, 95, 94, 93, 90, 53, 95, 94, 94, 92, 95, 94, 94, 94, 89, 86, 83, 77, 93, 92, 73, 94, 93, 79, 95, 93, 71, 92, 75, 68, 79, 63, 87, 86, 87, 85, 91, 90, 86, 75, 51, 81, 83, 84, 86, 59], 'toothbrush': [49], 'car': [48, 50, 54], 'parking meter': [49, 53, 60], 'dining table': [49, 49, 50, 53, 54, 54, 53, 49, 49, 51, 51, 50, 48, 50, 50, 52, 52, 51, 52, 52, 52, 52, 52, 51, 47], 'suitcase': [48, 48, 48, 51, 51, 52, 51, 50, 50, 52, 51, 50, 51, 51, 51, 50, 50, 53, 51, 50, 57, 50, 49, 47, 59, 59, 52, 49, 59, 57, 51, 61, 55, 51, 51, 54, 49, 63, 54, 61, 59, 55, 47, 57, 50, 58, 47, 49], 'remote': [53], 'silicone-spatula': [57, 63, 64, 64, 61, 56], 'turner': [48]}"
Cashew Chicken Stir-Fry,https://tasty.co/recipe/cashew-chicken-stir-fry,7.0,"[{'Cutlery': 'person', 'Accuracy': 58}]","[{'Cutlery': 'person', 'Occurrence': 6, 'Average Accuracy': 55.0}]","{'Cutlery': 'person', 'Accuracy': 48}","{'spoon': {'Top Accuracy': 50, 'Occurrence': 1}, 'person': {'Top Accuracy': 58, 'Occurrence': 6}}","{'Container': 'bowl', 'Accuracy': 79}","[{'Container': 'bowl', 'Occurrence': 94, 'Average Accuracy': 59.91489361702128}]","{'Container': 'bowl', 'Accuracy': 50}","{'bowl': {'Top Accuracy': 79, 'Occurrence': 94}}","{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'broccoli': {'Top Accuracy': 63, 'Occurrences': 127}}","{'pan': [94, 94, 92, 93, 93, 93, 94, 94, 92, 94, 90, 94, 95, 94, 96, 96, 96, 97, 97, 95, 95, 97, 96, 96, 88, 86, 84, 90, 89, 59, 54], 'silicone-spatula': [57, 50, 55, 51, 47, 50, 52, 48, 51], 'bird': [53], 'cat': [49], 'tongs': [56, 55], 'lepel': [49], 'sieve': [56, 53, 51], 'tv': [50], 'parking meter': [54], 'toilet': [49], 'baking-sheet': [51, 49, 52, 48, 48, 52], 'food-container': [48], 'skimmer': [59, 48], 'baking-dish': [49, 53, 53, 50, 48, 48]}"
Weekday Meal-Prep Chicken Burrito Bowls,https://tasty.co/recipe/weekday-meal-prep-chicken-burrito-bowls,16.0,"[{'Cutlery': 'person', 'Accuracy': 56}]","[{'Cutlery': 'person', 'Occurrence': 5, 'Average Accuracy': 52.0}]","{'Cutlery': 'person', 'Accuracy': 55}","{'person': {'Top Accuracy': 56, 'Occurrence': 5}}","{'Container': None, 'Accuracy': -1}","[{'Container': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'Glass': None, 'Accuracy': -1}","[{'Glass': None, 'Occurrence': -1, 'Average Accuracy': -1}]",{},{},"{'cake': {'Top Accuracy': 53, 'Occurrences': 3}}","{'tongs': [48], 'peeler': [49], 'vase': [48, 54, 53, 52, 49], 'refrigerator': [52, 48, 55, 59, 66, 49, 64, 66, 54, 48], 'food-container': [47, 52, 50, 48, 54, 48, 51, 48, 56, 50, 48, 57, 53, 56, 53, 56, 53, 48, 56, 53, 49, 55, 52, 49, 54, 50, 49, 54, 50, 49, 54, 50, 49, 54, 48, 54, 47, 54, 48, 55, 48, 56, 55, 56, 56, 56, 47, 56, 47, 55, 56, 47, 55, 55, 55, 47, 55, 55, 47, 61, 57, 71, 66, 65, 66, 50, 64, 62, 61, 63, 63, 64, 63, 63, 52, 68, 63, 71, 65, 64], 'mixer': [48, 50, 49, 50, 47, 49, 50, 49, 48, 49, 50, 50, 49, 51, 49, 49, 49, 48, 47], 'silicone-spatula': [53, 47], 'turner': [60, 53, 58], 'baking-sheet': [48]}"
