Concept,Occurrences,Ingredient
dish,41,"['chili', 'patty', 'pilaf', 'salad', 'pudding', 'mousse', 'soup', 'taco', 'teriyaki', 'pasta', 'casserole', 'risotto', 'croquette', 'chow_mein', 'tempura', 'custard', 'couscous', 'applesauce', 'pizza', 'stew', 'side_dish', 'meatball', 'egg_roll', 'saute', 'beef_wellington', 'ramekin', 'sauerkraut', 'tamale', 'enchilada', 'tostada', 'falafel', 'scampi', 'hash', 'burrito', 'sushi', 'adobo', 'fondue', 'paella', 'barbecue', 'mould', 'omelet']"
flavorer,30,"['vanilla', 'salt', 'pepper', 'garlic', 'cayenne', 'ginger', 'herb', 'coriander', 'turmeric', 'cardamom', 'spice', 'paprika', 'chili_powder', 'vanilla_bean', 'fenugreek', 'mustard_seed', 'sesame_seed', 'lemon_extract', 'anise', 'saffron', 'poppy_seed', 'fennel_seed', 'celery_seed', 'curry_powder', 'condiment', 'garlic_salt', 'bouillon_cube', 'caraway_seed', 'celery_salt', 'almond_extract']"
edible fruit,24,"['banana', 'apple', 'pomegranate', 'berry', 'pear', 'grape', 'tamarind', 'avocado', 'pineapple', 'cling', 'cherry', 'plum', 'apricot', 'fig', 'mango', 'kiwi', 'peach', 'passion_fruit', 'date', 'melon', 'guava', 'citrus', 'jackfruit', 'papaya']"
cut,15,"['side', 'rack', 'steak', 'sirloin', 'leg', 'roast', 'rib', 'chop', 'tenderloin', 'neck', 'shoulder', 'shank', 'brisket', 'shin', 'loin']"
vegetable,15,"['onion', 'celery', 'squash', 'pumpkin', 'mushroom', 'asparagus', 'cucumber', 'fennel', 'artichoke', 'leek', 'artichoke_heart', 'plantain', 'truffle', 'bamboo_shoot', 'gumbo']"
herb,15,"['parsley', 'dill', 'sage', 'thyme', 'coriander', 'rosemary', 'basil', 'fennel', 'tea', 'bay_leaf', 'mint', 'tarragon', 'caraway', 'savory', 'marjoram']"
condiment,14,"['sauce', 'vinegar', 'soy_sauce', 'mustard', 'chili_sauce', 'marinade', 'salsa', 'dip', 'horseradish', 'spread', 'cranberry_sauce', 'chutney', 'relish', 'taco_sauce']"
food,13,"['butter', 'cheese', 'water', 'chocolate', 'coconut', 'yogurt', 'meat', 'loaf', 'pasta', 'fish', 'seafood', 'beverage', 'feed']"
pasta,13,"['dumpling', 'noodle', 'macaroni', 'ravioli', 'spaghetti', 'couscous', 'fettuccine', 'penne', 'linguine', 'lasagna', 'orzo', 'tortellini', 'vermicelli']"
foodstuff,12,"['egg', 'flour', 'ingredient', 'milk', 'juice', 'grain', 'coloring', 'cocoa', 'meal', 'tapioca', 'concentrate', 'curd']"
cheese,12,"['cheddar', 'parmesan', 'cream_cheese', 'ricotta', 'goat_cheese', 'mozzarella', 'gouda', 'string_cheese', 'cottage_cheese', 'bleu', 'camembert', 'brie']"
sauce,12,"['dressing', 'mustard_sauce', 'pesto', 'cocktail_sauce', 'curry_sauce', 'gravy', 'barbecue_sauce', 'chocolate_sauce', 'aioli', 'wine_sauce', 'hollandaise', 'pepper_sauce']"
edible nut,11,"['walnut', 'butternut', 'hazelnut', 'coconut', 'cashew', 'peanut', 'almond', 'pine_nut', 'pistachio', 'pecan', 'chestnut']"
