Nodes,Occurrences,Accuracy,Video
"('bowl', 'cutting-board')",131,"(71.48091603053435, 61.94656488549618)","[2, 31, 40, 65, 66, 80, 101, 105, 128, 142, 167, 175, 233, 255, 262, 278, 292, 302, 345, 384, 391, 393, 425, 426, 435, 67, 293, 301, 433]"
"('pinch-bowl', 'bowl')",440,"(62.402272727272724, 69.975)","[2, 3, 4, 8, 9, 10, 19, 24, 26, 27, 41, 42, 45, 47, 49, 51, 54, 55, 57, 60, 61, 65, 70, 72, 74, 76, 85, 86, 94, 95, 96, 101, 106, 111, 115, 118, 119, 121, 126, 144, 162, 171, 175, 177, 186, 190, 194, 197, 199, 204, 205, 209, 218, 226, 227, 246, 251, 255, 258, 259, 264, 265, 266, 270, 272, 278, 284, 294, 296, 303, 311, 312, 315, 320, 327, 330, 332, 343, 346, 347, 350, 355, 361, 362, 380, 383, 387, 399, 406, 413, 414, 421, 425, 426, 432, 435, 436, 447, 448, 67, 84, 169, 256, 269, 334, 349]"
"('turner', 'pan')",224,"(56.611607142857146, 83.19642857142857)","[2, 3, 13, 31, 33, 45, 51, 55, 56, 62, 74, 76, 77, 80, 81, 82, 85, 86, 88, 93, 100, 101, 102, 105, 110, 112, 120, 129, 132, 146, 148, 155, 158, 159, 160, 168, 170, 172, 174, 182, 183, 204, 205, 209, 214, 216, 219, 220, 221, 222, 229, 234, 238, 251, 263, 264, 267, 271, 273, 290, 294, 297, 315, 320, 326, 338, 341, 343, 345, 355, 365, 373, 385, 405, 411, 425, 434, 435, 440, 446, 447, 202, 269, 322, 334, 349, 443]"
"('pan', 'bowl')",381,"(74.5275590551181, 62.31496062992126)","[2, 3, 4, 7, 11, 12, 13, 28, 31, 35, 40, 45, 50, 54, 55, 62, 72, 74, 77, 82, 86, 92, 94, 100, 102, 108, 110, 120, 149, 150, 154, 158, 159, 166, 168, 170, 172, 181, 182, 183, 184, 185, 198, 203, 204, 205, 209, 216, 219, 221, 222, 224, 229, 234, 236, 238, 239, 245, 246, 247, 262, 267, 271, 272, 273, 277, 279, 292, 297, 298, 299, 312, 315, 320, 321, 324, 329, 330, 331, 332, 338, 341, 342, 343, 345, 347, 351, 355, 373, 380, 382, 385, 398, 418, 425, 429, 434, 439, 446, 447, 114, 269, 301, 334, 349, 378, 443]"
"('sieve', 'pan')",60,"(56.06666666666667, 64.5)","[2, 45, 57, 73, 92, 93, 102, 115, 120, 172, 194, 197, 203, 205, 219, 222, 237, 254, 262, 285, 308, 312, 345, 356, 362, 374, 385, 391, 114, 301]"
"('sieve', 'bowl')",207,"(63.333333333333336, 64.65700483091787)","[2, 4, 17, 21, 23, 24, 29, 32, 38, 39, 47, 64, 65, 68, 73, 79, 90, 92, 93, 102, 103, 104, 111, 120, 156, 163, 170, 172, 186, 196, 199, 208, 218, 222, 244, 245, 247, 257, 260, 261, 262, 270, 272, 284, 296, 298, 307, 312, 345, 354, 379, 381, 382, 388, 409, 411, 413, 419, 427, 442, 445, 34, 59, 114, 301, 349, 443]"
"('food-container', 'bowl')",286,"(60.32517482517483, 65.17832167832168)","[2, 3, 4, 5, 15, 16, 24, 31, 35, 41, 45, 57, 73, 96, 108, 125, 136, 171, 186, 188, 207, 221, 222, 224, 227, 239, 246, 247, 248, 258, 279, 284, 285, 286, 290, 324, 337, 342, 343, 345, 350, 353, 361, 374, 384, 394, 408, 418, 423, 425, 434, 440, 441, 442, 447, 448, 202, 217, 310, 360, 410, 433]"
"('jar', 'food-container')",13,"(54.61538461538461, 71.84615384615384)","[2, 12, 57, 105, 253, 258, 369]"
"('wooden-spatula', 'pan')",25,"(57.6, 80.72)","[3, 31, 45, 76, 93, 165, 209, 220, 335]"
"('lepel', 'pan')",4,"(58.5, 64.0)","[3, 315, 335, 269]"
