Noun,Occurrences,Concepts
bun,8,['bread']
pancake,4,['cake']
chili,4,"['hot pepper', 'dish']"
batter,3,['concoction']
butter,3,"['dairy product', 'food']"
cheese,3,"['dairy product', 'food']"
banana,2,['edible fruit']
side,2,['cut']
cup,2,['punch']
broccoli,2,['cruciferous vegetable']
filling,2,['concoction']
garlic,2,['flavorer']
parsley,2,['herb']
bowl,1,[]
egg,1,['foodstuff']
vanilla,1,['flavorer']
oats,1,[]
cinnamon,1,['spice']
skillet,1,[]
medium,1,[]
scoop,1,[]
pancake_batter,1,['batter']
layer,1,[]
minute,1,[]
bubble,1,[]
top,1,[]
topping,1,['garnish']
banana_slice,1,[]
slice,1,[]
walnut,1,['edible nut']
maple_syrup,1,['syrup']
maple,1,[]
syrup,1,['sweetening']
g,1,[]
stem,1,[]
broccoli_head,1,[]
head,1,[]
floret,1,[]
pot,1,[]
heat,1,[]
onion,1,['vegetable']
flour,1,['foodstuff']
mixture,1,[]
half,1,[]
content,1,[]
simmer,1,[]
stock,1,[]
carrot,1,['root vegetable']
salt,1,['flavorer']
pepper,1,"['solanaceous vegetable', 'flavorer']"
nutmeg,1,['spice']
ingredient,1,['foodstuff']
oven,1,[]
f,1,[]
c,1,[]
dog_bun,1,[]
dog,1,[]
inch,1,[]
cm,1,[]
baking_dish,1,[]
baking,1,[]
dish,1,['nutriment']
rectangle,1,[]
centimeter,1,[]
edge,1,[]
bread_cut,1,[]
bread,1,"['starches', 'baked goods']"
cut_-,1,[]
cut,1,['meat']
bottom,1,[]
space,1,[]
mess,1,"['nutriment', 'meal']"
inside,1,[]
garlic_butter,1,['spread']
weight,1,[]
cheddar_cheese,1,[]
cheddar,1,['cheese']
bit,1,[]
dog_boat,1,[]
boat,1,[]
seam,1,[]
