fruit,"edible fruit, citrus, chili, dried fruit, sweet pepper, pome, juice, sweet orange, tomato, orange peel, lemon peel, candied citrus peel, cherry tomato, lime, drupe, mandarin, drupelet, melon, winter melon, raisin, berry, fruit juice"
vegetable,"vegetable, cruciferous vegetable, root vegetable, solanaceous vegetable, garlic, greens, pickle, winter squash, juice, winter squash, cabbage, salad, lettuce, summer squash, cucumber, salad green, sprout, onion, jalapeno, crudites"
flavorer,"spice, flavorer, herb, hot pepper, chili, garlic, vinegar, relish, jalapeno, mint, chicory"
batter,"batter, concoction"
baked goods,"cake, pie, bread, pastry, dough, butter cookie, sweet roll, biscuit, baking-powder biscuit, flour, tart, friedcake, sponge cake, puff, cracker, puff paste"
nut,edible nut
sweets,"syrup, sweetening, candy, pastry, chocolate candy, sweet, chocolate, cookie, butter cookie, sweet roll, biscuit, baking-powder biscuit, pancake, tart, friedcake, sugar, powdered sugar "
beverage,"punch, beverage, mixed drink, coffee, drinking water, whiskey, soft drink, liquor, lager, liqueur, alcohol, beer, mineral water, tea, ale, fruit drink, wine, sparkling wine, fortified wine, cocktail, highball"
meat,"poultry, meat, sausage, bird, wing, cut of beef, beefsteak, cut of pork, pork sausage, canned meat, meat pie, hamburger, ham, side of pork, chicken, variety meat, bacon, patty, tenderloin, rind, roast"
soup,"broth, soup, brew, stew"
seed,"bean, coffee, edible seed, common bean, legume, green pea, green bean"
meal,"dish, entree, side dish, sandwich, meat pie, taco, burrito, pancake, tart, dumpling, dainty, porridge, cold cereal, course, mush, breakfast food"
seafood,"saltwater fish, smoked salmon, shellfish, fish, flatfish, lobster, tuna, roast"
snacks,"tortilla chip, snack food, appetizer, dip, sandwich, corn chip, morsel, crudites"
dairy product,"butter, milk, cream cheese, clarified butter, curd, cream"
spread,"butter, margarine, marmalade"
sauce,"relish, spaghetti sauce, white sauce, condiment, dressing, fruit juice, liquid"
pasta,"starches, noodle"
bread,"sandwich, quick bread, hamburger, bun, tortilla, loaf, flatbread, bun, cracker"
peel,"peel, orange peel, lemon peel, candied citrus peel"
garnish,"decoration, garnish, topping, dressing"
grain,corn
edible fat,"vegetable oil, butter"
nutrient,"roughage, protein, nutriment, gluten"
small indefinite quantity,crumb
herb,"cress, mint, chicory"
salad,"tomato, dressing, cabbage, lettuce, salad green, vegetable"
dessert,"pie, cake, frozen dessert, sponge cake, pastry"
