Food,Our Verbs
edible fruit,"slice, dice, cut, peel, wash, carve, mash, chop, put, decorate, place, garnish, distribute, spread, coat"
flavorer,"put, add, sprinkle, scatter, spread, flavor, spice, season, pour, spread, distribute, mix"
spice,"put, add, sprinkle, scatter, spread, flavor, spice, season, pour, spread, distribute, mix"
batter,"put, pour, spread, distribute, mix, stir, churn, fill, whisk, beat, bake, fry, heat, ladle"
cake,"cut, heat, put, slice, decorate, place, coat, cool, brush, distribute"
concoction,"put, pour, spread, distribute, mix, stir, churn, fill, whisk, beat, bake, fry, heat"
cut,"fry, heat, cut, slice, coat, brush, cook, place, decorate, season, spice, flavor, put, add, grill"
garnish,"put, place, decorate, add, sprinkle, scatter, spread, distribute, cut, slice, chop, garnish"
edible nut,"add, sprinkle, cut, chop, hack, decorate, distribute, spread, garnish, place, put"
syrup,"add, distribute, spread, mix, pour, stir, churn, measure, put, "
sweetening,"put, add, sprinkle, scatter, spread, flavor, pour, spread, distribute, mix"
punch,"pour, ladle, add, distribute, mix, stir, churn, put, filter, strain, flavor"
cruciferous vegetable,"slice, dice, cut, peel, wash, carve, mash, chop, put, decorate, place, garnish, distribute, spread, cook, fry, heat, coat, grill"
dairy product,"pour, add, mix, stir, churn, measure, put, heat, cut, sprinkle, grate"
vegetable,"slice, dice, cut, peel, wash, carve, mash, chop, put, decorate, place, garnish, distribute, spread, cook, fry, heat, coat, grill"
root vegetable,"slice, dice, cut, peel, wash, carve, mash, chop, put, decorate, place, garnish, distribute, spread, cook, fry, heat, coat, grill"
solanaceous vegetable,"slice, dice, cut, peel, wash, carve, mash, chop, put, decorate, place, garnish, distribute, spread, cook, fry, heat, coat, grill"
bread,"cut, slice, carve, flatten, spread, apply, toast, put, place, garnish"
starches,"put, add, sprinkle, scatter, spread, distribute, mix, stir, churn, whisk"
baked goods,"warm, cut, slice, put, place, decorate, distribute, heat, coat, cool, brush"
meat,"fry, heat, cut, slice, coat, brush, cook, place, decorate, season, spice, flavor, put, add, grill"
meal,"eat, consume"
