Utensil,Associated Food
fork,"['edible fruit', 'flavorer', 'cake', 'edible nut', 'cruciferous vegetable', 'dairy product', 'vegetable', 'root vegetable', 'solanaceous vegetable', 'baked goods', 'meat', 'meal', 'cheese', 'hot pepper', 'dish', 'poultry', 'legume', 'pastry', 'chili', 'candy', 'pie', 'condiment', 'citrus', 'bean', 'drupe', 'pasta', 'dessert', 'edible fat', 'dried fruit', 'sweet pepper', 'saltwater fish', 'pickle', 'pome', 'onion', 'jalapeno', 'common bean', 'berry', 'salad green', 'sausage', 'milk', 'noodle', 'bird', 'juice', 'frozen dessert', 'breakfast food', 'fish', 'beefsteak', 'cut of beef', 'entree', 'morsel', 'cut of pork', 'sweet roll', 'tomato', 'pancake', 'green pea', 'sprout', 'salad', 'friedcake', 'sponge cake', 'smoked salmon', 'seafood', 'shellfish', 'appetizer', 'chicken', 'dumpling', 'wing', 'variety meat', 'bacon', 'mandarin', 'conserve', 'drupelet', 'melon', 'dainty', 'bun', 'side of pork', 'tenderloin', 'meat pie', 'ham', 'roast', 'puff', 'course', 'winter melon', 'green bean', 'cucumber', 'pork sausage', 'canned meat', 'tortilla', 'tart', 'mush', 'burrito', 'cream', 'puff paste', 'cherry tomato', 'hamburger', 'tuna', 'lobster', 'chicory', 'patty', 'side dish', 'flatfish', 'corn', 'lettuce']"
knife,"['edible fruit', 'flavorer', 'edible nut', 'cruciferous vegetable', 'dairy product', 'vegetable', 'root vegetable', 'solanaceous vegetable', 'bread', 'baked goods', 'meat', 'meal', 'herb', 'spread', 'cheese', 'hot pepper', 'dish', 'poultry', 'pastry', 'chili', 'candy', 'pie', 'citrus', 'drupe', 'edible fat', 'butter', 'margarine', 'dried fruit', 'sweet pepper', 'saltwater fish', 'pickle', 'pome', 'winter squash', 'onion', 'jalapeno', 'quick bread', 'chocolate', 'salad green', 'dip', 'sausage', 'bird', 'juice', 'breakfast food', 'fish', 'beefsteak', 'cabbage', 'cut of beef', 'entree', 'morsel', 'cut of pork', 'sweet roll', 'tomato', 'pancake', 'green pea', 'sprout', 'salad', 'orange peel', 'smoked salmon', 'seafood', 'shellfish', 'appetizer', 'chicken', 'flatbread', 'wing', 'crudites', 'summer squash', 'variety meat', 'bacon', 'marmalade', 'conserve', 'drupelet', 'candied citrus peel', 'peel', 'rind', 'melon', 'dainty', 'bun', 'side of pork', 'tenderloin', 'meat pie', 'ham', 'roast', 'puff', 'cracker', 'course', 'winter melon', 'green bean', 'cucumber', 'pork sausage', 'canned meat', 'cress', 'tortilla', 'tart', 'powdered sugar', 'mush', 'burrito', 'cream', 'puff paste', 'cream cheese', 'cherry tomato', 'loaf', 'mint', 'hamburger', 'tuna', 'lobster', 'chicory', 'patty', 'side dish', 'sweet orange', 'flatfish', 'lime', 'corn', 'chocolate candy', 'lettuce']"
squeezer,"['edible fruit', 'fruit juice', 'citrus', 'garlic', 'juice', 'sweet orange', 'lime']"
chopsticks,"['edible fruit', 'cruciferous vegetable', 'vegetable', 'root vegetable', 'solanaceous vegetable', 'meat', 'meal', 'dish', 'saltwater fish', 'noodle', 'bird', 'fish', 'seafood', 'dumpling', 'wing', 'dainty', 'side of pork', 'course', 'cucumber', 'tuna', 'lobster', 'side dish', 'flatfish']"
scoop,"['edible fruit', 'batter', 'cake', 'concoction', 'drupe', 'winter squash', 'frozen dessert', 'friedcake', 'sponge cake', 'summer squash', 'drupelet', 'melon', 'winter melon', 'canned meat', 'cream cheese', 'whiskey']"
spoon,"['edible fruit', 'flavorer', 'spice', 'batter', 'cake', 'concoction', 'garnish', 'edible nut', 'syrup', 'sweetening', 'punch', 'cruciferous vegetable', 'dairy product', 'vegetable', 'root vegetable', 'solanaceous vegetable', 'baked goods', 'meal', 'herb', 'spread', 'cheese', 'dish', 'broth', 'soup', 'legume', 'chili', 'edible seed', 'pie', 'condiment', 'vegetable oil', 'bean', 'grain', 'drupe', 'pasta', 'dessert', 'garlic', 'edible fat', 'saltwater fish', 'dressing', 'common bean', 'chocolate', 'milk', 'noodle', 'frozen dessert', 'breakfast food', 'fish', 'entree', 'morsel', 'alcohol', 'green pea', 'white sauce', 'brew', 'friedcake', 'sponge cake', 'appetizer', 'spaghetti sauce', 'clarified butter', 'sugar', 'bacon', 'stew', 'conserve', 'drupelet', 'candied citrus peel', 'peel', 'rind', 'melon', 'dainty', 'bun', 'tenderloin', 'meat pie', 'ham', 'roast', 'porridge', 'cold cereal', 'course', 'winter melon', 'green bean', 'cucumber', 'canned meat', 'cress', 'tortilla', 'tart', 'powdered sugar', 'mush', 'burrito', 'raisin', 'cream', 'cream cheese', 'whiskey', 'side dish', 'sweet orange', 'taco', 'flatfish', 'lime', 'corn', 'chocolate candy', 'curd', 'wine', 'mineral water', 'ale', 'liquor']"
peeler,"['edible fruit', 'cruciferous vegetable', 'vegetable', 'root vegetable', 'solanaceous vegetable', 'drupe', 'pome', 'drupelet', 'candied citrus peel', 'peel', 'rind', 'cucumber', 'sweet orange', 'lime']"
masher,"['edible fruit', 'legume', 'citrus', 'bean', 'drupe', 'pome', 'winter squash', 'common bean', 'berry', 'summer squash', 'mandarin', 'drupelet', 'melon', 'cherry tomato']"
whisk,"['flavorer', 'spice', 'batter', 'concoction', 'sweetening', 'punch', 'dairy product', 'baked goods', 'edible fat', 'sauce', 'chocolate', 'milk', 'candied citrus peel', 'rind', 'powdered sugar', 'cream', 'cream cheese', 'whiskey', 'sweet orange', 'lime', 'chocolate candy', 'curd']"
mixer,"['flavorer', 'batter', 'concoction', 'sweetening', 'dairy product', 'baked goods', 'candy', 'bean', 'butter', 'margarine', 'common bean', 'chocolate', 'milk', 'flour', 'alcohol', 'candied citrus peel', 'rind', 'powdered sugar', 'cream', 'cream cheese', 'whiskey', 'sweet orange', 'lime', 'chocolate candy', 'curd']"
sieve,"['flavorer', 'spice', 'cake', 'garnish', 'sweetening', 'baked goods', 'pastry', 'bean', 'grain', 'pasta', 'common bean', 'salad green', 'noodle', 'flour', 'small indefinite quantity', 'green pea', 'salad', 'friedcake', 'sponge cake', 'conserve', 'puff', 'green bean', 'canned meat', 'powdered sugar', 'puff paste', 'mint', 'sweet orange', 'lime', 'corn', 'lettuce']"
brush,"['flavorer', 'spice', 'syrup', 'bread', 'baked goods', 'meat', 'spread', 'poultry', 'pastry', 'pie', 'vegetable oil', 'edible fat', 'butter', 'margarine', 'saltwater fish', 'quick bread', 'dip', 'bird', 'fish', 'beefsteak', 'cut of beef', 'cut of pork', 'sweet roll', 'alcohol', 'smoked salmon', 'chicken', 'flatbread', 'wing', 'bun', 'side of pork', 'tenderloin', 'meat pie', 'ham', 'roast', 'puff', 'tart', 'puff paste', 'biscuit', 'loaf', 'tuna', 'lobster', 'chicory', 'whiskey', 'sweet orange', 'flatfish', 'lime', 'corn']"
measuring-cup,"['flavorer', 'spice']"
pinch-bowl,"['flavorer', 'spice', 'garnish', 'edible nut', 'syrup', 'cruciferous vegetable', 'dairy product', 'vegetable', 'root vegetable', 'solanaceous vegetable', 'meal', 'herb', 'hot pepper', 'dish', 'chili', 'candy', 'condiment', 'vegetable oil', 'fruit juice', 'garlic', 'edible fat', 'butter', 'margarine', 'dried fruit', 'dressing', 'onion', 'jalapeno', 'chocolate', 'berry', 'dip', 'small indefinite quantity', 'white sauce', 'crumb', 'sugar', 'bacon', 'conserve', 'candied citrus peel', 'rind', 'melon', 'dainty', 'ham', 'course', 'cucumber', 'canned meat', 'cress', 'powdered sugar', 'mush', 'raisin', 'cream', 'cream cheese', 'cherry tomato', 'mint', 'tuna', 'whiskey', 'side dish', 'sweet orange', 'lime', 'corn', 'chocolate candy', 'curd']"
pepper-mill,"['flavorer', 'spice', 'garnish', 'cruciferous vegetable', 'vegetable', 'root vegetable', 'solanaceous vegetable', 'bread', 'meat', 'meal', 'dish', 'pasta', 'saltwater fish', 'sauce', 'winter squash', 'quick bread', 'salad green', 'bird', 'fish', 'beefsteak', 'cut of beef', 'entree', 'cut of pork', 'green pea', 'salad', 'smoked salmon', 'seafood', 'shellfish', 'appetizer', 'flatbread', 'wing', 'summer squash', 'bacon', 'conserve', 'melon', 'dainty', 'bun', 'side of pork', 'tenderloin', 'meat pie', 'ham', 'roast', 'course', 'green bean', 'cucumber', 'canned meat', 'tortilla', 'mush', 'cream cheese', 'cherry tomato', 'loaf', 'tuna', 'lobster', 'chicory', 'patty', 'side dish', 'flatfish', 'corn', 'lettuce']"
ladle,"['batter', 'concoction', 'syrup', 'punch', 'broth', 'soup', 'sauce', 'dressing', 'alcohol', 'white sauce', 'brew', 'spaghetti sauce', 'clarified butter', 'stew', 'marmalade', 'roast', 'whiskey', 'sweet orange', 'flatfish', 'mineral water']"
turner,"['batter', 'concoction', 'cruciferous vegetable', 'vegetable', 'root vegetable', 'solanaceous vegetable', 'meat', 'meal', 'dish', 'poultry', 'saltwater fish', 'bird', 'breakfast food', 'fish', 'beefsteak', 'cut of beef', 'cut of pork', 'cookie', 'pancake', 'smoked salmon', 'seafood', 'chicken', 'wing', 'variety meat', 'bacon', 'conserve', 'candied citrus peel', 'rind', 'melon', 'dainty', 'bun', 'side of pork', 'meat pie', 'ham', 'course', 'green bean', 'pork sausage', 'canned meat', 'tortilla', 'baking-powder biscuit', 'mush', 'cherry tomato', 'biscuit', 'hamburger', 'tuna', 'butter cookie', 'chicory', 'patty', 'side dish', 'flatfish', 'corn']"
silicone-spatula,"['batter', 'concoction', 'sweetening', 'dairy product', 'baked goods', 'edible fat', 'butter', 'margarine', 'chocolate', 'conserve', 'porridge', 'cream', 'cream cheese', 'chocolate candy', 'curd']"
icing-spatula,"['cake', 'baked goods', 'spread', 'pie', 'chocolate', 'friedcake', 'sponge cake', 'tart', 'cream', 'cream cheese', 'chocolate candy', 'curd']"
oil-dispenser,"['garnish', 'cruciferous vegetable', 'vegetable', 'root vegetable', 'solanaceous vegetable', 'bread', 'baked goods', 'meat', 'meal', 'dish', 'poultry', 'vegetable oil', 'garlic', 'edible fat', 'saltwater fish', 'onion', 'quick bread', 'salad green', 'bird', 'fish', 'beefsteak', 'cut of beef', 'cut of pork', 'green pea', 'salad', 'smoked salmon', 'seafood', 'shellfish', 'chicken', 'flatbread', 'wing', 'melon', 'dainty', 'bun', 'course', 'green bean', 'cucumber', 'cherry tomato', 'loaf', 'tuna', 'lobster', 'chicory', 'patty', 'side dish', 'flatfish', 'corn', 'lettuce', 'mineral water']"
tongs,"['cruciferous vegetable', 'vegetable', 'root vegetable', 'solanaceous vegetable', 'meat', 'meal', 'dish', 'poultry', 'pasta', 'sweet pepper', 'saltwater fish', 'sausage', 'noodle', 'bird', 'fish', 'beefsteak', 'cut of beef', 'cut of pork', 'tomato', 'green pea', 'sprout', 'smoked salmon', 'seafood', 'chicken', 'wing', 'variety meat', 'bacon', 'melon', 'dainty', 'bun', 'side of pork', 'tenderloin', 'ham', 'roast', 'course', 'green bean', 'cucumber', 'pork sausage', 'mush', 'tuna', 'lobster', 'chicory', 'patty', 'side dish', 'sweet orange', 'taco', 'flatfish', 'corn', 'lettuce']"
lepel,"['cruciferous vegetable', 'dairy product', 'vegetable', 'root vegetable', 'solanaceous vegetable', 'meat', 'meal', 'herb', 'dish', 'grain', 'pasta', 'garlic', 'edible fat', 'butter', 'margarine', 'saltwater fish', 'sauce', 'dressing', 'chocolate', 'salad green', 'milk', 'noodle', 'fish', 'green pea', 'white sauce', 'salad', 'spaghetti sauce', 'clarified butter', 'marmalade', 'conserve', 'candied citrus peel', 'peel', 'rind', 'dainty', 'side of pork', 'meat pie', 'ham', 'porridge', 'course', 'green bean', 'cucumber', 'canned meat', 'cherry tomato', 'mint', 'whiskey', 'side dish', 'sweet orange', 'flatfish', 'corn', 'chocolate candy', 'lettuce', 'curd', 'mineral water']"
wooden-spatula,"['cruciferous vegetable', 'dairy product', 'vegetable', 'root vegetable', 'solanaceous vegetable', 'meat', 'poultry', 'grain', 'garlic', 'edible fat', 'butter', 'margarine', 'sweet pepper', 'saltwater fish', 'salad green', 'sausage', 'bird', 'breakfast food', 'fish', 'beefsteak', 'cut of beef', 'cut of pork', 'tomato', 'green pea', 'sprout', 'salad', 'seafood', 'chicken', 'wing', 'variety meat', 'bacon', 'conserve', 'candied citrus peel', 'peel', 'rind', 'melon', 'side of pork', 'tenderloin', 'meat pie', 'green bean', 'cucumber', 'pork sausage', 'canned meat', 'mush', 'cherry tomato', 'tuna', 'lobster', 'chicory', 'corn', 'lettuce']"
grater,"['cruciferous vegetable', 'dairy product', 'vegetable', 'root vegetable', 'solanaceous vegetable', 'cheese', 'hot pepper', 'chili', 'citrus', 'garlic', 'pome', 'winter squash', 'lemon peel', 'orange peel', 'summer squash', 'candied citrus peel', 'peel', 'rind', 'winter melon', 'cucumber', 'sweet orange', 'lime']"
pizza-cutter,"['bread', 'baked goods', 'quick bread', 'dough', 'flatbread', 'tortilla', 'loaf']"
rolling-pin,"['baked goods', 'tortilla chip', 'cookie', 'dough', 'cracker', 'baking-powder biscuit', 'biscuit', 'butter cookie']"
oven-glove,"['baked goods', 'bun']"
hammer,"['meat', 'bird', 'crumb', 'wing', 'side of pork', 'patty']"
skimmer,"['saltwater fish', 'fish']"
