URL,Title,Rating,Serving,Time,Category,Ingredients,Preparation,Nutritional Info,Video_ID
https://tasty.co/recipe/veggie-roast-and-tuna-salad,Veggie Roast And Tuna Salad,,2,{},"Salad Dressing:,Salad Ingredients:,For Garnish:","{'Salad Dressing:': ['2 teaspoons tahini', '1 ½ teaspoons harissa paste', '1 ½ teaspoons pomegranate molasses', '1 tablespoon brine, from pickled olives', 'salt, as needed'], 'Salad Ingredients:': ['1 cup tuna (200 g), canned', '1 red bell pepper, cubed', '2 ½ cups brussels sprouts (250 g), cut into halves', '1 tablespoon olive oil', '1 tablespoon Za’atar spice mix', '2 teaspoons balsamic vinegar', 'salt, to taste'], 'For Garnish:': ['1 handful fresh parsley', '2 teaspoons Za’atar', '2 teaspoons balsamic vinegar', '1 teaspoon red chili flakes', '2 cloves garlic, cut into thin slivers', '1 shallot, sliced thin', '2 teaspoons caper', '1 tablespoon olive oil', '¾ cup bread croutons, toasted, dressed with extra virgin olive oil and a pinch of salt']}","{1: 'Roast the brussel sprouts and bell pepper with za’atar, salt, olive oil and balsamic vinegar at 400°F for 25-30 minutes or more, depending on how charred you like your veggies.', 2: 'Once the veggies are roasted, take a salad bowl and mix the sprouts, bell pepper and canned tuna together. Then, mix together dressing ingredients and, once combined, toss salad in this.', 3: 'Fry a few capers and slivers of small onions and garlic in olive oil and add this on top of the salad.', 4: 'Finish the salad with a final dash of balsamic vinegar, toasted bread croutons, a sprinkle of fresh parsley, za’atar spice mix and red chilli flakes.'}","{'Calories': '694', 'Fat': '25g', 'Carbs': '76g', 'Fiber': '13g', 'Sugar': '14g', 'Protein': '40g'}",
https://tasty.co/recipe/giant-chocolate-chip-cookies,Giant Chocolate Chip Cookies,,8,{},General,"{'General': ['2 sticks unsalted butter, cold, chopped into small cubes', '½ cup granulated sugar (100 g)', '1 cup light brown sugar (200 g)', '2 large eggs', '1 teaspoon vanilla extract', '1 ½ cups all purpose flour (185 g)', '1 ½ cups cake flour (185 g)', '1 teaspoon cornstarch', '¾ teaspoon salt', '¾ teaspoon baking soda', '2 cups semi sweet chocolate chips (350 g)']}","{1: 'Preheat the oven to 410°F and line two baking sheets with parchment paper.', 2: 'In a large mixing bowl fitted with a paddle attachment, mix the butter with the granulated and brown sugar until light and fluffy.', 3: 'Add eggs one at a time, until fully combined.', 4: 'Add the vanilla extract and mix until fully combined.', 5: 'In a separate bowl, lightly whisk together both flours, baking soda, cornstarch, and salt.', 6: 'Add the dry mixture to the wet mixture until fully combined, and then mix in chocolate chips.', 7: 'Make large balls with the dough, only putting 4 cookies on each pan and leaving space to spread between each cookie.', 8: 'Bake for 9-12 minutes, or until lightly-browned on the top.', 9: 'Let cool for 10 minutes and then enjoy!'}","{'Calories': '476', 'Fat': '18g', 'Carbs': '75g', 'Fiber': '3g', 'Sugar': '42g', 'Protein': '8g'}",
https://tasty.co/recipe/chipotle-chili-and-cornbread-dumplings,Chipotle Chili And Cornbread Dumplings,98.0,12,{},"General,Cornbread Dumplings","{'General': ['2 lb ground beef (905 g)', '2 tablespoons kosher salt', '1 tablespoon black pepper', '1 tablespoon ground cumin', '1 tablespoon chilli powder', '1 tablespoon smoked paprika, ground', '1 teaspoon cayenne', '1 large onion, chopped', '1 red bell pepper, chopped', '6 cloves garlic, minced', '2 chipotle peppers in adobo sauce, chopped', '12 oz tomato paste (340 g)', '2 cups beef broth (480 mL)', '12 oz chopped tomato (340 g), 1 can', '15 oz black beans (425 g), 1 can', '15 oz red kidney bean (425 g), 1 can', '1 tablespoon apple cider vinegar, optional'], 'Cornbread Dumplings': ['1 cup cornmeal (120 g)', '1 cup flour (125 g)', '1 teaspoon baking powder', '1 pinch salt', '2 eggs', '¼ cup honey (85 g)', '½ cup buttermilk (120 mL)']}","{1: 'In a large bowl, mix the flour, cornmeal, baking powder, and salt. Mix and make a little well in the center.', 2: 'Add the milk, eggs, honey into the well, beat the eggs and liquid first, and then combine with the rest of the dry ingredients. Set aside until chili is almost finished.', 3: 'In a large pot at medium high heat, add the beef, season with salt, pepper, cumin, chili powder, smoked paprika, cayenne, and cook until it is a deep brown color.', 4: 'Add the onion, red bell peppers garlic, and chopped chipotles, and a pinch of salt. Cook until caramelized and soft, about 10 minutes.', 5: 'Add the tomato paste and cook until the tomato paste gets dark and starts sticking to the bottom slightly.', 6: 'Add in the canned diced tomatoes, beef broth, black beans, kidney beans, and apple cider vinegar (optional). Stir until all is well incorporated. Bring to a boil, reduce heat to low to a simmer,', 7: 'Scoop and shape the cornbread batter into golf ball sized dumplings and place in the simmering chili.', 8: 'Put a lid on the Chili and steam/simmer the dumplings 20 minutes or until the dumplings are cooked through.', 9: 'Serve with cheddar cheese, sour cream, and sliced scallions.', 10: 'Enjoy!'}","{'Calories': '507', 'Fat': '16g', 'Carbs': '57g', 'Fiber': '8g', 'Sugar': '16g', 'Protein': '31g'}",
https://tasty.co/recipe/nut-free-macarons,Nut-Free Macarons,,10,{},General,"{'General': ['2 large egg whites', '4 tablespoons granulated sugar, plus 1/2 teaspoon', '½ cup all purpose flour (65 g)', '½ cup powdered sugar (55 g)', '½ teaspoon vanilla extract', 'gel food coloring, optional', 'buttercream frosting, or any frosting of your choice']}","{1: 'In a bowl, beat egg whites until frothy.', 2: 'Gradually add the granulated sugar until stiff peaks form.', 3: 'In a separate bowl, whisk the flour and powdered sugar together. Then, sift the flour and powdered sugar mixture into the egg white mixture.', 4: 'Add the vanilla extract, and gel food coloring if you want the macarons to be colored.', 5: 'Gently fold all the ingredients together.', 6: 'Transfer the batter into a piping bag with a rounded tip.', 7: 'Pipe the macarons onto a baking sheet with parchment paper. Gently tap the baking sheet on a flat surface a few times to release air bubbles.', 8: 'Let the macarons sit at room temperature for about 45 minutes.', 9: 'Preheat the oven to 280°F.', 10: 'Bake the macarons for 17-20 minutes.', 11: 'Allow the macarons to cool for 10 minutes, then transfer the macarons on to a cooling rack.', 12: 'Add a dollop of buttercream or any frosting of your choice to one of the macaron shells, then top it with another macaron shell to create a sandwich. Repeat with the remaining shells and frosting.', 13: 'For best results, allow the macarons to “bloom” for about 24 hours.', 14: 'Enjoy!'}","{'Calories': '85', 'Fat': '1g', 'Carbs': '16g', 'Fiber': '0g', 'Sugar': '10g', 'Protein': '2g'}",
https://tasty.co/recipe/grain-free-chocolate-chip-cookie-bars,Grain-Free Chocolate Chip Cookie Bars,,20,{},General,"{'General': ['nonstick cooking spray, for greasing', '1 stick butter, melted, plus 2 tablespoons', '1 cup honey (336 g)', '2 teaspoons vanilla', '5 large eggs, beaten', '3 ½ cups blanched almond flour (336 g)', '¾ teaspoon salt', '¼ teaspoon baking powder', '1 bag dark chocolate chip']}","{1: 'Preheat oven to 375°F (190°C), and generously spray a 9 x 13 inch (22 x 33 cm) rectangular cake pan.', 2: 'Combine everything but the chocolate chips until well-incorporated (I usually just whisk, wet ingredients first, and then dry).', 3: 'Stir in the chocolate chips.', 4: 'Spread batter evenly into pan.', 5: 'Bake for 20-25 minutes, or until a toothpick comes out barely clean. These might brown a lot on edges, but that’s okay.', 6: 'Cool completely before cutting!', 7: 'Enjoy!'}","{'Calories': '301', 'Fat': '18g', 'Carbs': '31g', 'Fiber': '3g', 'Sugar': '25g', 'Protein': '7g'}",
https://tasty.co/recipe/caribbean-rice,Caribbean Rice,,8,{},General,"{'General': ['½ lb pork shoulder (300 g), diced', '7 oz chorizo (200 g), sliced', '1 sour orange, juiced', '4 cloves garlic, chopped', '¼ cup fresh cilantro (10 g)', '½ cup red onion (75 g), chopped', '½ cup red pepper (50 g), chopped', '2 cups rice (400 g), pre-cooked', '1 ½ cups black beans (210 g), boiled', '½ teaspoon black pepper', '½ teaspoon salt', '2 cups water (240 mL), used to boiled beans', '1 can coconut milk']}","{1: 'In a large pan, cook the pork, chorizo, and orange juice. Remove from the pan, leaving the grease behind.', 2: 'Take the remaining grease and mix it with garlic, cilantro, onion, and pepper and have it cook for 5 minutes at medium heat.', 3: 'Add the pork and chorizo to the mixture, then add the rice and beans.', 4: 'Add the salt and pepper to the mix and the water from the beans. Let it cook for 15 minutes until the rice is cooked, adding water if needed.', 5: 'Add the can of coconut milk and stir everything for 5 more minutes.', 6: 'Serve and eat up!!!'}","{'Calories': '379', 'Fat': '23g', 'Carbs': '26g', 'Fiber': '2g', 'Sugar': '4g', 'Protein': '15g'}",
https://tasty.co/recipe/sweet-and-sour-eggplant,Sweet And Sour Eggplant,,6,{},General,"{'General': ['2 medium eggplant', '½ cup oil (120 mL), divided', '1 tablespoon cumin seed', '2 tablespoons garlic, chopped', '1 ½ cups onion (225 g), chopped', '2 tablespoons red pepper flakes', '1 cup ketchup (240 g)', '1 cup vinegar (237 mL)', '1 tablespoon salt', 'water, as needed', '⅓ cup fresh coriander (15 g)', 'rice, for serving']}","{1: 'Cut the eggplant into medium sized pieces.', 2: 'In a frying pan, put some oil and lightly fry the eggplant pieces. Remove them from the pan.', 3: 'Using the same fry pan, add some oil. Then, add the cumin seeds and chopped garlic. Fry for 15 seconds, then add the onion and red pepper flakes. Fry for 3 minutes. Add the eggplants and stir it. Add the ketchup and mix it well.', 4: 'Add the vinegar and mix it. Cover the pan and keep on low heat for 8 minutes. Take off the lid, then add the salt and a little bit of water (if necessary). Cook for 4 minutes without the lid.', 5: 'Sprinkle the coriander over and turn off the heat.', 6: 'Serve with plain rice or biriyani.'}","{'Calories': '287', 'Fat': '18g', 'Carbs': '29g', 'Fiber': '6g', 'Sugar': '13g', 'Protein': '2g'}",
https://tasty.co/recipe/grandma-decanini-s-zuppa-pavese,Grandma Decanini's Zuppa Pavese,,2,{},General,"{'General': ['1 qt chicken broth', '2 tablespoons dried parsley', '2 teaspoons butter', '2 thick slices good Italian bread', '2 eggs', '¼ cup grated parmesan cheese, plus more to taste', 'salt, to taste', 'pepper, to taste']}","{1: 'In a small pot put 1 quart chicken broth and 2 tbsp dried parsley. Bring to a low boil, then turn down to a simmer.', 2: 'In a frying pan add a knob of butter and grill both sides of bread until nice and crunchy. Slice in half and arrange in oven-safe bowl.', 3: 'Crack 1 or 2 eggs over the bread so as not to break yolks. Add salt and pepper and a dash of parsley.', 4: 'Slowly ladle or pour simmering broth over eggs and bread, do not break yolk!', 5: 'Add Parmesan cheese and bake at 350°F (180°C) for 20-25 minutes for soft-boiled eggs, longer if you want the yolk harder. Add more broth and cheese fresh out of the oven.'}",{},
https://tasty.co/recipe/apple-pie-french-toast,Apple Pie French Toast,,2,{},General,"{'General': ['2 eggs', '1 cup milk (240 mL)', '1 teaspoon cinnamon', '½ teaspoon salt', '1 teaspoon vanilla', '2 tablespoons brown sugar', '1 medium grated apple, divided', '2 tablespoons butter', '7 breads', 'almond and cashew, for serving', 'maple syrup, for serving']}","{1: 'Whisk together eggs, milk, cinnamon, salt, vanilla, and brown sugar.', 2: 'Add ¾ of the grated apple to the egg mixture and fold it in.', 3: 'Coat bread slices with the egg and apple mixture. Pan fry in butter on medium flame for about 1 minute on each side (or until nicely toasted).', 4: 'Serve with the remaining grated apple, crushed nuts and a drizzle of maple syrup.', 5: 'Enjoy!'}","{'Calories': '730', 'Fat': '24g', 'Carbs': '103g', 'Fiber': '7g', 'Sugar': '36g', 'Protein': '24g'}",
https://tasty.co/recipe/quick-and-easy-leftover-rotisserie-chicken-alfredo,Quick And Easy Leftover Rotisserie Chicken Alfredo,,4,{},General,"{'General': ['2 cups shredded rotisserie chicken (250 g), shredded', '½ egg noodle, cooked', '1 jar alfredo sauce, 16 oz (455 G)', '⅓ cup milk (80 mL)', '2 tablespoons butter', '¼ teaspoon salt', '½ teaspoon garlic powder', '½ teaspoon oregano', '½ teaspoon poultry seasoning', '½ teaspoon dried parsley']}","{1: 'Boil egg noodles and cook according to package directions. Drain. Set aside.', 2: 'In a 2 quart saucepan over medium heat, combine leftover chicken, Alfredo sauce, milk, butter, salt, garlic powder, poultry seasoning, oregano, and parsley flakes. Stir often for about 10 minutes, or until sauce is thick, creamy, and hot.', 3: 'Serve the chicken alfredo over egg noodles.', 4: 'Garnish with chopped parsley flakes.'}","{'Calories': '604', 'Fat': '30g', 'Carbs': '46g', 'Fiber': '2g', 'Sugar': '3g', 'Protein': '36g'}",
